Article,Triplet,Title,Head,Relation,Tail
Article 2  Definitions,"('union', 'executive body', 'commission')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",union,executive body,commission
Article 2  Definitions,"('the union', 'executive body', 'union')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",the union,executive body,union
Article 2  Definitions,"('the union', 'executive body', 'shared management')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",the union,executive body,shared management
Article 2  Definitions,"('union', 'executive body', 'the union')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",union,executive body,the union
Article 2  Definitions,"('union', 'executive body', 'shared management')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",union,executive body,shared management
Article 2  Definitions,"('edf', 'partnership with', 'european development fund')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",edf,partnership with,european development fund
Article 2  Definitions,"('grant', 'foundational text', 'basic act')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",grant,foundational text,basic act
Article 2  Definitions,"('grant', 'supplement to', 'basic act')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",grant,supplement to,basic act
Article 2  Definitions,"('donation', 'foundational text', 'basic act')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",donation,foundational text,basic act
Article 2  Definitions,"('donation', 'part of', 'basic act')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",donation,part of,basic act
Article 2  Definitions,"('donation', 'stated in', 'basic act')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",donation,stated in,basic act
Article 2  Definitions,"('counterpart', 'handled, mitigated, or managed by', 'guarantee on demand')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",counterpart,"handled, mitigated, or managed by",guarantee on demand
Article 2  Definitions,"('union', 'board member', 'financial framework partnership agreements')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",union,board member,financial framework partnership agreements
Article 2  Definitions,"('union', 'instance of', 'financial asset')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",union,instance of,financial asset
Article 2  Definitions,"('common provisioning fund', 'instance of', 'financial asset')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",common provisioning fund,instance of,financial asset
Article 2  Definitions,"('procurement', 'main regulatory text', 'article 163')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",procurement,main regulatory text,article 163
Article 2  Definitions,"('quasi-equity investment', 'subclass of', 'debt')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",quasi-equity investment,subclass of,debt
Article 2  Definitions,"('preferred equity', 'subclass of', 'debt')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",preferred equity,subclass of,debt
Article 2  Definitions,"('appropriation', 'part of', 'budget')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",appropriation,part of,budget
Article 2  Definitions,"('european union', 'executive body', 'eec')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",european union,executive body,eec
Article 2  Definitions,"('union', 'legislative body', 'european parliament')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",union,legislative body,european parliament
Article 2  Definitions,"('european union', 'executive body', 'commission')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",european union,executive body,commission
Article 2  Definitions,"('european union', 'legislative body', 'european parliament')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",european union,legislative body,european parliament
Article 2  Definitions,"('european union', 'legislative body', 'european council')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",european union,legislative body,european council
Article 2  Definitions,"('european union', 'legislative body', 'court of justice of the european union')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",european union,legislative body,court of justice of the european union
Article 2  Definitions,"('union', 'legislative body', 'european council')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",union,legislative body,european council
Article 2  Definitions,"('union', 'legislative body', 'court of justice of the european union')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",union,legislative body,court of justice of the european union
Article 2  Definitions,"('european council', 'country', 'european union')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",european council,country,european union
Article 2  Definitions,"('court of justice of the european union', 'country', 'european union')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",court of justice of the european union,country,european union
Article 2  Definitions,"('court of justice of the european union', 'country', 'union')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",court of justice of the european union,country,union
Article 2  Definitions,"('court of justice of the european union', 'significant place', 'union')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",court of justice of the european union,significant place,union
Article 2  Definitions,"('union', 'central bank', 'eeas')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",union,central bank,eeas
Article 2  Definitions,"('union', 'central bank', 'european central bank')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",union,central bank,european central bank
Article 2  Definitions,"('volunteer', 'industry', 'work')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",volunteer,industry,work
Article 2  Definitions,"('application', 'subclass of', 'tender')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",application,subclass of,tender
Article 2  Definitions,"('treaty on european union', 'foundational text', 'treaty on the functioning of the european union')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",treaty on european union,foundational text,treaty on the functioning of the european union
Article 2  Definitions,"('beneficiary', 'manifestation of', 'entity')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",beneficiary,manifestation of,entity
Article 2  Definitions,"('building contract', 'typically sells', 'lease')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",building contract,typically sells,lease
Article 2  Definitions,"('check', 'has use', 'expenditure')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",check,has use,expenditure
Article 2  Definitions,"('crisis', 'has cause', 'wars')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",crisis,has cause,wars
Article 2  Definitions,"('wars', 'part of', 'conflicts')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",wars,part of,conflicts
Article 2  Definitions,"('decommitment', 'opposite of', 'commitment')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",decommitment,opposite of,commitment
Article 2  Definitions,"('commitment', 'opposite of', 'decommitment')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",commitment,opposite of,decommitment
Article 2  Definitions,"('leverage effect', 'facet of', 'union')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",leverage effect,facet of,union
Article 2  Definitions,"('multiplier effect', 'facet of', 'union')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",multiplier effect,facet of,union
Article 2  Definitions,"('union', 'instance of', 'multiplier effect')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",union,instance of,multiplier effect
Article 2  Definitions,"('building contracts', 'instance of', 'budget')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",building contracts,instance of,budget
Article 2  Definitions,"('building contracts', 'instance of', 'works contracts')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",building contracts,instance of,works contracts
Article 2  Definitions,"('building contracts', 'subclass of', 'works contracts')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",building contracts,subclass of,works contracts
Article 2  Definitions,"('works contracts', 'has cause', 'building contracts')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",works contracts,has cause,building contracts
Article 2  Definitions,"('quasi-equity investment', 'subclass of', 'equity')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",quasi-equity investment,subclass of,equity
Article 2  Definitions,"('equity', 'opposite of', 'debt')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",equity,opposite of,debt
Article 2  Definitions,"('debt', 'opposite of', 'equity')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",debt,opposite of,equity
Article 2  Definitions,"('union', 'highest judicial authority', 'court of justice of the european union')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",union,highest judicial authority,court of justice of the european union
Article 2  Definitions,"('vendor', 'instance of', 'economic operator')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",vendor,instance of,economic operator
Article 2  Definitions,"('vendor', 'industry', 'economic operator')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",vendor,industry,economic operator
Article 2  Definitions,"('building contract', 'instance of', 'usufruct')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",building contract,instance of,usufruct
Article 2  Definitions,"('building contract', 'typically sells', 'usufruct')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",building contract,typically sells,usufruct
Article 2  Definitions,"('building contract', 'payment types accepted', 'usufruct')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",building contract,payment types accepted,usufruct
Article 2  Definitions,"('policies', 'handled, mitigated, or managed by', 'controls')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",policies,"handled, mitigated, or managed by",controls
Article 3  Compliance of secondary legislation with this Regulation,"('basic act', 'facet of', 'budget')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",basic act,facet of,budget
Article 3  Compliance of secondary legislation with this Regulation,"('budget', 'has cause', 'basic act')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",budget,has cause,basic act
Article 3  Compliance of secondary legislation with this Regulation,"('legislative authority', 'main regulatory text', 'this regulation')","TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",legislative authority,main regulatory text,this regulation
Article 7  Scope of the budget,"('common foreign and security policy', 'foundational text', 'teu')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,common foreign and security policy,foundational text,teu
Article 7  Scope of the budget,"('union', 'foundational text', 'the teu')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,union,foundational text,the teu
Article 7  Scope of the budget,"('common foreign and security policy', 'foundational text', 'the teu')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,common foreign and security policy,foundational text,the teu
Article 7  Scope of the budget,"('common foreign and security policy', 'foundational text', 'european atomic energy community')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,common foreign and security policy,foundational text,european atomic energy community
Article 7  Scope of the budget,"('european atomic energy community', 'foundational text', 'the teu')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,european atomic energy community,foundational text,the teu
Article 7  Scope of the budget,"('european atomic energy community', 'foundational text', 'common foreign and security policy')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,european atomic energy community,foundational text,common foreign and security policy
Article 7  Scope of the budget,"('budget', 'country', 'the union')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,budget,country,the union
Article 7  Scope of the budget,"('appropriations', 'instance of', 'article 15')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,appropriations,instance of,article 15
Article 8  Specific rules on the principles of unity and budgetary accuracy,"('appropriations', 'instance of', 'budget')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,appropriations,instance of,budget
Article 10  Budgetary accounting for revenue and appropriations,"('value added tax', 'standards body', 'euratom')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,value added tax,standards body,euratom
Article 10  Budgetary accounting for revenue and appropriations,"('euratom', 'different from', 'euratom')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,euratom,different from,euratom
Article 10  Budgetary accounting for revenue and appropriations,"('the commission', 'industry', 'commission')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,the commission,industry,commission
Article 11  Commitment of appropriations,"('the council', 'legislative body', 'european parliament')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,the council,legislative body,european parliament
Article 11  Commitment of appropriations,"('the eagf', 'legislative body', 'european parliament')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,the eagf,legislative body,european parliament
Article 11  Commitment of appropriations,"('the budget', 'has cause', 'the budget')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,the budget,has cause,the budget
Article 11  Commitment of appropriations,"('budget', 'has cause', 'the budget')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,budget,has cause,the budget
Article 12  Cancellation and carry-over of appropriations,"('appropriations', 'has cause', 'legislative authority')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,appropriations,has cause,legislative authority
Article 12  Cancellation and carry-over of appropriations,"('basic', 'has cause', 'legislative authority')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,basic,has cause,legislative authority
Article 12  Cancellation and carry-over of appropriations,"('basic act', 'has cause', 'legislative authority')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,basic act,has cause,legislative authority
Article 12  Cancellation and carry-over of appropriations,"('european union solidarity fund', 'facet of', 'european union')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,european union solidarity fund,facet of,european union
Article 12  Cancellation and carry-over of appropriations,"('financial year', 'part of', 'financial year')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,financial year,part of,financial year
Article 12  Cancellation and carry-over of appropriations,"('appropriations', 'instance of', 'appropriations')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,appropriations,instance of,appropriations
Article 12  Cancellation and carry-over of appropriations,"('union', 'member of', 'european free trade association')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,union,member of,european free trade association
Article 12  Cancellation and carry-over of appropriations,"('union', 'member of', 'efta')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,union,member of,efta
Article 12  Cancellation and carry-over of appropriations,"('appropriations', 'instance of', 'financial year')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,appropriations,instance of,financial year
Article 12  Cancellation and carry-over of appropriations,"('commission', 'instance of', 'act')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,commission,instance of,act
Article 12  Cancellation and carry-over of appropriations,"('appropriations', 'follows', 'internal assigned revenue')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,appropriations,follows,internal assigned revenue
Article 12  Cancellation and carry-over of appropriations,"('appropriations', 'follows', 'following financial year')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,appropriations,follows,following financial year
Article 12  Cancellation and carry-over of appropriations,"('appropriations', 'follows', 'financial year')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,appropriations,follows,financial year
Article 12  Cancellation and carry-over of appropriations,"('eu', 'legislative body', 'european parliament')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,eu,legislative body,european parliament
Article 12  Cancellation and carry-over of appropriations,"('the eagf', 'main regulatory text', 'regulation (eu) no 1306/2013')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,the eagf,main regulatory text,regulation (eu) no 1306/2013
Article 12  Cancellation and carry-over of appropriations,"('union', 'foundational text', 'efta')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,union,foundational text,efta
Article 12  Cancellation and carry-over of appropriations,"('eea agreement', 'foundational text', 'agreement on the european economic area')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,eea agreement,foundational text,agreement on the european economic area
Article 12  Cancellation and carry-over of appropriations,"('the eagf', 'main regulatory text', 'the eagf')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,the eagf,main regulatory text,the eagf
Article 13  Detailed provisions on cancellation and carry-over of appropriations,"('prize', 'follows', 'article 112(1)')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,prize,follows,article 112(1)
Article 15  Making appropriations corresponding to decommitments available again,"('decommitments', 'instance of', 'commitment')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,decommitments,instance of,commitment
Article 15  Making appropriations corresponding to decommitments available again,"('decommitments', 'instance of', 'budgetary procedure')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,decommitments,instance of,budgetary procedure
Article 16  Rules applicable in the event of late adoption of the budget,"('budget', 'instance of', 'appropriations')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,budget,instance of,appropriations
Article 16  Rules applicable in the event of late adoption of the budget,"('budget', 'instance of', 'budget')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,budget,instance of,budget
Article 16  Rules applicable in the event of late adoption of the budget,"('budget', 'statement is subject of', 'budget')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,budget,statement is subject of,budget
Article 16  Rules applicable in the event of late adoption of the budget,"('the commission', 'instance of', 'commission')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,the commission,instance of,commission
Article 16  Rules applicable in the event of late adoption of the budget,"('commission', 'authority', 'the council')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,commission,authority,the council
Article 16  Rules applicable in the event of late adoption of the budget,"('council', 'legislative body', 'european parliament')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,council,legislative body,european parliament
Article 16  Rules applicable in the event of late adoption of the budget,"('its', 'executive body', 'commission')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,its,executive body,commission
Article 16  Rules applicable in the event of late adoption of the budget,"('european parliament', 'executive body', 'commission')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,european parliament,executive body,commission
Article 16  Rules applicable in the event of late adoption of the budget,"('appropriations', 'facet of', 'budget')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,appropriations,facet of,budget
Article 16  Rules applicable in the event of late adoption of the budget,"('appropriations', 'statement is subject of', 'budget')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,appropriations,statement is subject of,budget
Article 16  Rules applicable in the event of late adoption of the budget,"('budget', 'statement is subject of', 'the budget')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,budget,statement is subject of,the budget
Article 16  Rules applicable in the event of late adoption of the budget,"('appropriations', 'facet of', 'the budget')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,appropriations,facet of,the budget
Article 16  Rules applicable in the event of late adoption of the budget,"('appropriations', 'part of', 'budget')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,appropriations,part of,budget
Article 16  Rules applicable in the event of late adoption of the budget,"('appropriations', 'part of', 'the budget')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,appropriations,part of,the budget
Article 16  Rules applicable in the event of late adoption of the budget,"('the budget', 'statement is subject of', 'budget')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,the budget,statement is subject of,budget
Article 18  Balance from financial year,"('the budget', 'facet of', 'the budget')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,the budget,facet of,the budget
Article 18  Balance from financial year,"('the budget', 'facet of', 'this regulation')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,the budget,facet of,this regulation
Article 18  Balance from financial year,"('the budget', 'facet of', 'regulation')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,the budget,facet of,regulation
Article 18  Balance from financial year,"('the budget', 'main regulatory text', 'this regulation')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,the budget,main regulatory text,this regulation
Article 18  Balance from financial year,"('the budget', 'main regulatory text', 'regulation')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,the budget,main regulatory text,regulation
Article 18  Balance from financial year,"('eu', 'different from', 'euratom')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,eu,different from,euratom
Article 18  Balance from financial year,"('eu', 'executive body', 'euratom')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,eu,executive body,euratom
Article 18  Balance from financial year,"('euratom', 'different from', 'eu')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,euratom,different from,eu
Article 18  Balance from financial year,"('the council', 'executive body', 'commission')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,the council,executive body,commission
Article 18  Balance from financial year,"('eu', 'executive body', 'council')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,eu,executive body,council
Article 18  Balance from financial year,"('provisional accounts', 'follows', 'amending budget')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,provisional accounts,follows,amending budget
Article 18  Balance from financial year,"('amending budget', 'instance of', 'amending budget')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,amending budget,instance of,amending budget
Article 19  Use of euro,"('eeas', 'currency', 'euro')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,eeas,currency,euro
Article 19  Use of euro,"('the eeas', 'follows', 'commission')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,the eeas,follows,commission
Article 21  Assigned revenue,"('steel', 'facet of', 'the tfeu')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,steel,facet of,the tfeu
Article 21  Assigned revenue,"('union', 'foundational text', 'euratom treaty')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,union,foundational text,euratom treaty
Article 21  Assigned revenue,"('joint research centre', 'founded by', 'commission')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,joint research centre,founded by,commission
Article 21  Assigned revenue,"('the jrc', 'instance of', 'union')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,the jrc,instance of,union
Article 21  Assigned revenue,"('budget', 'main regulatory text', 'budget')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,budget,main regulatory text,budget
Article 21  Assigned revenue,"('budget', 'part of', 'budget')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,budget,part of,budget
Article 21  Assigned revenue,"('the commission', 'member of', 'ecsc')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,the commission,member of,ecsc
Article 21  Assigned revenue,"('the tfeu', 'significant person', 'the teu')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,the tfeu,significant person,the teu
Article 21  Assigned revenue,"('internal assigned', 'instance of', 'internal assigned')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,internal assigned,instance of,internal assigned
Article 21  Assigned revenue,"('internal assigned', 'instance of', 'internal assigned revenue.   l 193/37')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,internal assigned,instance of,internal assigned revenue.   l 193/37
Article 21  Assigned revenue,"('internal assigned revenue.   l 193/37', 'instance of', 'internal assigned')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,internal assigned revenue.   l 193/37,instance of,internal assigned
Article 21  Assigned revenue,"('internal assigned revenue.   l 193/37', 'instance of', 'internal assigned revenue.   l 193/37')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,internal assigned revenue.   l 193/37,instance of,internal assigned revenue.   l 193/37
Article 21  Assigned revenue,"('union', 'foundational text', 'euratom')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,union,foundational text,euratom
Article 21  Assigned revenue,"('the tfeu', 'foundational text', 'tfeu')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,the tfeu,foundational text,tfeu
Article 22  Structure to accommodate assigned revenue and provision of corresponding appropriations,"('union', 'part of', 'section')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,union,part of,section
Article 22  Structure to accommodate assigned revenue and provision of corresponding appropriations,"('appropriations', 'follows', 'statement of expenditure')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,appropriations,follows,statement of expenditure
Article 22  Structure to accommodate assigned revenue and provision of corresponding appropriations,"('union', 'part of', 'union')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,union,part of,union
Article 23  Contributions from Member States to research programmes,"('the budget', 'has cause', 'budget')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,the budget,has cause,budget
Article 23  Contributions from Member States to research programmes,"('budget', 'facet of', 'the budget')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,budget,facet of,the budget
Article 23  Contributions from Member States to research programmes,"('budget', 'facet of', 'budget')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,budget,facet of,budget
Article 23  Contributions from Member States to research programmes,"('euratom', 'partnership with', 'eu')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,euratom,partnership with,eu
Article 24  Assigned revenue resulting from the participation of EFTA States in certain Union programmes,"('eea', 'foundational text', 'eea agreement')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,eea,foundational text,eea agreement
Article 24  Assigned revenue resulting from the participation of EFTA States in certain Union programmes,"('efta', 'foundational text', 'eea agreement')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,efta,foundational text,eea agreement
Article 24  Assigned revenue resulting from the participation of EFTA States in certain Union programmes,"('commission', 'foundational text', 'eea agreement')",TITLE II BUDGET AND BUDGETARY PRINCIPLES,commission,foundational text,eea agreement
