Title,Articles,coreference_list_ready,coreference_paragraph_clean,triplets_paragraph_orig,triplets_paragraph_clean
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘building contract’ means a contract covering the purchase, exchange, long lease, usufruct, leasing, rental or hire purchase, with or without option to buy, of land, buildings or other immovable property. land, buildings or other immovable property covers both existing buildings and buildings before completion provided that the candidate has obtained a valid building permit for land, buildings or other immovable property. land, buildings or other immovable property does not cover buildings designed in accordance with the specifications of the contracting authority that are covered by works contracts;",building contract means a contract covering the purchase exchange long lease usufruct leasing rental or hire purchase with or without option to buy of land buildings or other immovable property. land buildings or other immovable property covers both existing buildings and buildings before completion provided that the candidate has obtained a valid building permit for land buildings or other immovable property. land buildings or other immovable property does not cover buildings designed in accordance with the specifications of the contracting authority that are covered by works contracts,"[['building contract', 'typically sells', 'lease'], ['buildings', 'instance of', 'immovable property']]",
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘candidate’ means an economic operator that has sought an invitation or has been invited to take part in a restricted procedure, a competitive procedure with negotiation, a competitive dialogue, an innovation partnership, a design contest or a negotiated procedure;",candidate means an economic operator that has sought an invitation or has been invited to take part in a restricted procedure a competitive procedure with negotiation a competitive dialogue an innovation partnership a design contest or a negotiated procedure,,"[['candidate', 'subclass of', 'economic operator']]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘central purchasing body’ means a contracting authority providing centralised purchasing activities and, where applicable, ancillary purchasing activities;",central purchasing body means a contracting authority providing centralised purchasing activities and where applicable ancillary purchasing activities,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘check’ means the verification of a specific aspect of a revenue or expenditure operation;,check means the verification of a specific aspect of a revenue or expenditure operation,"[['check', 'has use', 'expenditure']]",
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘concession contract’ means a contract for pecuniary interest concluded in writing between one or more economic operators and one or more contracting authorities within the meaning of articles 174 and 178, in order to entrust the execution of works or the provision and management of services to an economic operator (the ‘concession’), and where: (a) the remuneration consists either solely in the right to exploit the works or services or in that right together with payment; (b) the award of the concession contract involves the transfer to the concessionaire of an operating risk in exploiting those works or services encompassing demand risk or supply risk, or both. the concessionaire shall be deemed to assume an operating risk where, under normal operating conditions, there is no guarantee of recouping the investments made or the costs incurred in operating the works or the services concerned;",concession contract means a contract for pecuniary interest concluded in writing between one or more economic operators and one or more contracting authorities within the meaning of articles 174 and 178 in order to entrust the execution of works or the provision and management of services to an economic operator (the concession) and where: the remuneration consists either solely in the right to exploit the works or services or in that right together with payment the award of the concession contract involves the transfer to the concessionaire of an operating risk in exploiting those works or services encompassing demand risk or supply risk or both. the concessionaire shall be deemed to assume an operating risk where under normal operating conditions there is no guarantee of recouping the investments made or the costs incurred in operating the works or the services concerned,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘contingent liability’ means a potential financial obligation that could be incurred depending on the outcome of a future event;,contingent liability means a potential financial obligation that could be incurred depending on the outcome of a future event,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘contract’ means a public contract or a concession contract;,contract means a public contract or a concession contract,"[['concession contract', 'subclass of', 'contract']]","[['concession contract', 'subclass of', 'contract']]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘contractor’ means an economic operator with whom a public contract has been signed;,contractor means an economic operator with whom a public contract has been signed,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘contribution agreement’ means an agreement concluded with persons or entities implementing union funds pursuant to points (c)(ii) to (viii) of the first subparagraph of article 62(1);,contribution agreement means an agreement concluded with persons or entities implementing union funds pursuant to points(ii) to (viii) of the first subparagraph of article 62(1),,"[['union', 'foundational text', 'contribution agreement']]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘control’ means any measure taken to provide reasonable assurance regarding the effectiveness, efficiency and economy of operations, the reliability of reporting, the safeguarding of assets and information, the prevention and detection and correction of fraud and irregularities and fraud and irregularities follow-up, and the adequate management of the risks relating to the legality and regularity of the underlying transactions, taking into account the multiannual character of programmes as well as the nature of the payments concerned. controls may involve various checks, as well as the implementation of any policies and procedures to achieve the objectives referred to in the first sentence;",control means any measure taken to provide reasonable assurance regarding the effectiveness efficiency and economy of operations the reliability of reporting the safeguarding of assets and information the prevention and detection and correction of fraud and irregularities and fraud and irregularities followup and the adequate management of the risks relating to the legality and regularity of the underlying transactions taking into account the multiannual character of programmes as well as the nature of the payments concerned. controls may involve various checks as well as the implementation of any policies and procedures to achieve the objectives referred to in the first sentence,,"[['fraud', 'handled, mitigated, or managed by', 'controls'], ['fraud and irregularities', 'has cause', 'fraud'], ['policies', 'handled, mitigated, or managed by', 'controls']]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘counterpart’ means the party that is granted a budgetary guarantee;,counterpart means the party that is granted a budgetary guarantee,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘crisis’ means: (a) a situation of immediate or imminent danger threatening to escalate into an armed conflict or to destabilise a country or an armed conflict neighbourhood; (b) a situation caused by natural disasters, man-made crisis such as wars and other conflicts or extraordinary circumstances having comparable effects related, inter alia, to climate change, environmental degradation, privation of access to energy and natural resources or extreme poverty;",crisis means: a situation of immediate or imminent danger threatening to escalate into an armed conflict or to destabilise a country or an armed conflict neighbourhood a situation caused by natural disasters manmade crisis such as wars and other conflicts or extraordinary circumstances having comparable effects related inter alia to climate change environmental degradation privation of access to energy and natural resources or extreme poverty,"[['crisis', 'has cause', 'wars'], ['wars', 'part of', 'conflicts'], ['environmental degradation', 'has cause', 'climate change']]","[['crisis', 'has cause', 'climate change'], ['environmental degradation', 'has cause', 'climate change'], ['environmental degradation', 'has cause', 'climate change']]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘decommitment’ means an operation whereby the authorising officer responsible cancels wholly or partly the reservation of appropriations previously made by means of a budgetary commitment;,decommitment means an operation whereby the authorising officer responsible cancels wholly or partly the reservation of appropriations previously made by means of a budgetary commitment,"[['decommitment', 'opposite of', 'commitment'], ['commitment', 'opposite of', 'decommitment']]",
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘dynamic purchasing system’ means a completely electronic process for making commonly used purchases of items generally available on the market;,dynamic purchasing system means a completely electronic process for making commonly used purchases of items generally available on the market,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘economic operator’ means any natural or legal person, including a public entity, or a group of such persons, who offers to supply products, execute works or provide services or supply immovable property;",economic operator means any natural or legal person including a public entity or a group of such persons who offers to supply products execute works or provide services or supply immovable property,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘equity investment’ means the provision of capital to a company, invested directly or indirectly in return for total or partial ownership of a company and where the equity investor may assume some management control of a company and may share a company profits;",equity investment means the provision of capital to a company invested directly or indirectly in return for total or partial ownership of a company and where the equity investor may assume some management control of a company and may share a company profits,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘european office’ means an administrative structure set up by the commission, or by the commission with one or more other union institutions, to perform specific cross-cutting tasks;",european office means an administrative structure set up by the commission or by the commission with one or more other union institutions to perform specific crosscutting tasks,"[['european', 'executive body', 'commission'], ['european', 'executive body', 'commission'], ['union', 'executive body', 'commission'], ['union', 'executive body', 'commission']]","[['union', 'executive body', 'commission'], ['union', 'executive body', 'commission']]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘final administrative decision’ means a decision of an administrative authority having final and binding effect in accordance with the applicable law;,final administrative decision means a decision of an administrative authority having final and binding effect in accordance with the applicable law,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘financial asset’ means any asset in the form of cash, an equity instrument of a publicly or privately held entity or a contractual right to receive cash or another financial asset from such entity;",financial asset means any asset in the form of cash an equity instrument of a publicly or privately held entity or a contractual right to receive cash or another financial asset from such entity,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘financial instrument’ means a union measure of financial support provided from the budget to address one or more specific policy objectives of the union which may take the form of equity or quasi-equity investments, loans or guarantees, or other risk-sharing instruments, and which may, where appropriate, be combined with other forms of financial support or with funds under shared management or funds of the european development fund (edf);",financial instrument means a union measure of financial support provided from the budget to address one or more specific policy objectives of the union which may take the form of equity or quasiequity investments loans or guarantees or other risksharing instruments and which may where appropriate be combined with other forms of financial support or with funds under shared management or funds of the european development fund (edf),,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘financial liability’ means a contractual obligation to deliver cash or another financial asset to another entity;,financial liability means a contractual obligation to deliver cash or another financial asset to another entity,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘framework contract’ means a public contract concluded between one or more economic operators and one or more contracting authorities, the purpose of which is to establish the terms governing specific contracts under the purpose of which to be awarded during a given period, in particular with regard to price and, where appropriate, the quantity envisaged;",framework contract means a public contract concluded between one or more economic operators and one or more contracting authorities the purpose of which is to establish the terms governing specific contracts under the purpose of which to be awarded during a given period in particular with regard to price and where appropriate the quantity envisaged,,"[['framework contract', 'subclass of', 'public contract'], ['framework contract', 'instance of', 'public contract'], ['economic operators', 'field of this occupation', 'public contract']]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘global provisioning’ means the total amount of resources deemed necessary over the entire lifetime of a budgetary guarantee as a result of applying the provisioning rate referred to in article 211(1) to the amount of the budgetary guarantee authorised by the basic act referred to in point (b) of article 210(1);,global provisioning means the total amount of resources deemed necessary over the entire lifetime of a budgetary guarantee as a result of applying the provisioning rate referred to in article 211(1) to the amount of the budgetary guarantee authorised by the basic act referred to in point of article 210(1),,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘grant’ means a financial contribution by way of donation. where such a contribution is provided under direct management, such a contribution shall be governed by title viii;",grant means a financial contribution by way of donation. where such a contribution is provided under direct management such a contribution shall be governed by title viii,,"[['grant', 'subclass of', 'financial contribution'], ['grant', 'conferred by', 'donation'], ['donation', 'subclass of', 'financial contribution']]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘guarantee’ means a written commitment to assume responsibility for all or part of a third party’s debt or obligation or for the successful performance by that third party of all or part of a third party’s debt or obligation obligations if an event occurs which triggers such guarantee, such as a loan default;",guarantee means a written commitment to assume responsibility for all or part of a third partys debt or obligation or for the successful performance by that third party of all or part of a third partys debt or obligation obligations if an event occurs which triggers such guarantee such as a loan default,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘guarantee on demand’ means a guarantee that must be honoured by the guarantor upon the counterpart’s demand, notwithstanding any deficiencies in the enforceability of the underlying obligation;",guarantee on demand means a guarantee that must be honoured by the guarantor upon the counterparts demand notwithstanding any deficiencies in the enforceability of the underlying obligation,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘in-kind contribution’ means non-financial resources made available free of charge by third parties to a beneficiary;,inkind contribution means nonfinancial resources made available free of charge by third parties to a beneficiary,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘legal commitment’ means an act whereby the authorising officer responsible enters into or establishes an obligation which results in subsequent payment or payments and the recognition of expenditure charged to the budget, and which includes specific agreements and contracts concluded under financial framework partnership agreements and framework contracts;",legal commitment means an act whereby the authorising officer responsible enters into or establishes an obligation which results in subsequent payment or payments and the recognition of expenditure charged to the budget and which includes specific agreements and contracts concluded under financial framework partnership agreements and framework contracts,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘leverage effect’ means the amount of reimbursable financing provided to eligible final recipients divided by the amount of the union contribution;,leverage effect means the amount of reimbursable financing provided to eligible final recipients divided by the amount of the union contribution,"[['leverage effect', 'facet of', 'union']]","[['leverage effect', 'facet of', 'union']]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘liquidity risk’ means the risk that a financial asset held in the common provisioning fund might not be sold during a certain period of time without incurring a significant loss;,liquidity risk means the risk that a financial asset held in the common provisioning fund might not be sold during a certain period of time without incurring a significant loss,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘loan’ means an agreement which obliges the lender to make available to the borrower an agreed amount of money for an agreed period and under which the borrower is obliged to repay that amount within the agreed period;,loan means an agreement which obliges the lender to make available to the borrower an agreed amount of money for an agreed period and under which the borrower is obliged to repay that amount within the agreed period,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘low value grant’ means a grant lower than or equal to eur 60 000;,low value grant means a grant lower than or equal to eur 60 000,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘member state organisation’ means an entity established in a member state as a public law body, or as a body governed by private law entrusted with a public service mission and provided with adequate financial guarantees from the member state;",member state organisation means an entity established in a member state as a public law body or as a body governed by private law entrusted with a public service mission and provided with adequate financial guarantees from the member state,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘method of implementation’ means any of the methods of budget implementation referred to in article 62, that is direct management, indirect management and shared management; l 193/28",method of implementation means any of the methods of budget implementation referred to in article 62 that is direct management indirect management and shared management l 19328,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘multi-donor action’ means any action where union funds are pooled with at least one other donor;,multidonor action means any action where union funds are pooled with at least one other donor,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘multiplier effect’ means the investment by eligible final recipients divided by the amount of the union contribution;,multiplier effect means the investment by eligible final recipients divided by the amount of the union contribution,"[['multiplier effect', 'facet of', 'union'], ['union', 'instance of', 'multiplier effect']]","[['multiplier effect', 'facet of', 'union']]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘output’ means the deliverables generated by the action determined in accordance with sector-specific rules;,output means the deliverables generated by the action determined in accordance with sectorspecific rules,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘participant’ means a candidate or tenderer in a procurement procedure, an applicant in a grant award procedure, an expert in a procedure for selection of experts, an applicant in a contest for prizes or a person or entity participating in a procedure for implementing union funds pursuant to point (c) of the first subparagraph of article 62(1);",participant means a candidate or tenderer in a procurement procedure an applicant in a grant award procedure an expert in a procedure for selection of experts an applicant in a contest for prizes or a person or entity participating in a procedure for implementing union funds pursuant to point of the first subparagraph of article 62(1),,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘prize’ means a financial contribution given as a reward following a contest. where such a contribution is provided under direct management, such a contribution shall be governed by title ix;",prize means a financial contribution given as a reward following a contest. where such a contribution is provided under direct management such a contribution shall be governed by title ix,,"[['prize', 'conferred by', 'ix']]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘procurement’ means the acquisition by means of a contract of works, supplies or services and the acquisition or rental of land, buildings or other immovable property, by one or more contracting authorities from economic operators chosen by those contracting authorities;",procurement means the acquisition by means of a contract of works supplies or services and the acquisition or rental of land buildings or other immovable property by one or more contracting authorities from economic operators chosen by those contracting authorities,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘procurement document’ means any document produced or referred to by the contracting authority to describe or determine elements of the procurement procedure, including: (a) the publicity measures set out in article 163; (b) the invitation to tender; (c) the tender specifications, including the technical specifications and the relevant criteria, or the descriptive documents in the case of a competitive dialogue; (d) the draft contract;",procurement document means any document produced or referred to by the contracting authority to describe or determine elements of the procurement procedure including: the publicity measures set out in article 163 the invitation to tender the tender specifications including the technical specifications and the relevant criteria or the descriptive documents in the case of a competitive dialogue the draft contract,"[['procurement', 'main regulatory text', 'article 163']]","[['procurement', 'main regulatory text', 'article 163']]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘public contract’ means a contract for pecuniary interest concluded in writing between one or more economic operators and one or more contracting authorities within the meaning of articles 174 and 178, in order to obtain, against payment of a price paid in whole or in part from the budget, the supply of movable or immovable assets, the execution of works or the provision of services, comprising: (a) building contracts; (b) supply contracts; (c) works contracts; (d) service contracts;",public contract means a contract for pecuniary interest concluded in writing between one or more economic operators and one or more contracting authorities within the meaning of articles 174 and 178 in order to obtain against payment of a price paid in whole or in part from the budget the supply of movable or immovable assets the execution of works or the provision of services comprising: building contracts supply contracts works contracts service contracts,"[['building contracts', 'instance of', 'budget'], ['building contracts', 'instance of', 'works contracts'], ['building contracts', 'instance of', 'works contracts'], ['building contracts', 'subclass of', 'works contracts'], ['building contracts', 'subclass of', 'works contracts'], ['works contracts', 'has cause', 'building contracts']]",
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘quasi-equity investment’ means a type of financing that ranks between equity and debt, having a higher risk than senior debt and a lower risk than common equity and which can be structured as debt, typically unsecured and subordinated and in some cases convertible into equity, or into preferred equity;",quasiequity investment means a type of financing that ranks between equity and debt having a higher risk than senior debt and a lower risk than common equity and which can be structured as debt typically unsecured and subordinated and in some cases convertible into equity or into preferred equity,"[['quasi-equity investment', 'subclass of', 'equity'], ['equity', 'opposite of', 'debt'], ['debt', 'opposite of', 'equity']]",
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘recipient’ means a beneficiary, a contractor, a remunerated external expert or a person or entity receiving prizes or funds under a financial instrument or implementing union funds pursuant to point (c) of the first subparagraph of article 62(1);",recipient means a beneficiary a contractor a remunerated external expert or a person or entity receiving prizes or funds under a financial instrument or implementing union funds pursuant to point of the first subparagraph of article 62(1),,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘repurchase agreement’ means the sale of securities for cash with an agreement to repurchase cash on a specified future date, or on demand;",repurchase agreement means the sale of securities for cash with an agreement to repurchase cash on a specified future date or on demand,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘research and technological development appropriation’ means an appropriation entered either in one of the titles of the budget relating to the policy areas linked to ‘indirect research’ or ‘direct research’ or in a chapter relating to research activities in another title;,research and technological development appropriation means an appropriation entered either in one of the titles of the budget relating to the policy areas linked to indirect research or direct research or in a chapter relating to research activities in another title,,"[['research and technological development appropriation', 'subclass of', 'research']]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘result’ means the effects of the implementation of an action determined in accordance with sector-specific rules;,result means the effects of the implementation of an action determined in accordance with sectorspecific rules,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘risk-sharing instrument’ means a financial instrument which allows for the sharing of a defined risk between two or more entities, where appropriate in exchange for an agreed remuneration;",risksharing instrument means a financial instrument which allows for the sharing of a defined risk between two or more entities where appropriate in exchange for an agreed remuneration,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘service contract’ means a contract covering all intellectual and non-intellectual services other than those covered by supply contracts, works contracts and building contracts;",service contract means a contract covering all intellectual and nonintellectual services other than those covered by supply contracts works contracts and building contracts,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘sound financial management’ means implementation of the budget in accordance with the principles of economy, efficiency and effectiveness;",sound financial management means implementation of the budget in accordance with the principles of economy efficiency and effectiveness,,"[['budget', 'facet of', 'financial management']]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘staff regulations’ means the staff regulations of officials of the european union and the conditions of employment of other servants of the european union laid down in regulation (eec, euratom, ecsc) no 259/68;",staff regulations means the staff regulations of officials of the european union and the conditions of employment of other servants of the european union laid down in regulation (eec euratom ecsc) no 25968,"[['european union', 'executive body', 'eec'], ['european union', 'executive body', 'eec']]",
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘subcontractor’ means an economic operator that is proposed by a candidate or tenderer or contractor to perform part of a contract or by a beneficiary to perform part of the tasks co-financed by a grant;,subcontractor means an economic operator that is proposed by a candidate or tenderer or contractor to perform part of a contract or by a beneficiary to perform part of the tasks cofinanced by a grant,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘subscription’ means sums paid to bodies of which the european union is member, in accordance with the budgetary decisions and the conditions of payment established by the body concerned;",subscription means sums paid to bodies of which the european union is member in accordance with the budgetary decisions and the conditions of payment established by the body concerned,,
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘supply contract’ means a contract covering the purchase, leasing, rental or hire purchase, with or without option to buy, of products, and which may include, as an incidental matter, siting and installation operations;",supply contract means a contract covering the purchase leasing rental or hire purchase with or without option to buy of products and which may include as an incidental matter siting and installation operations,,
