title,relation,tail,title,article
remuneration,consist,the award of the concession contract involves the transfer to the concessionaire of an operating risk in exploiting those works or services encompassing demand risk or supply risk or where either solely in the right to exploit the works or services or in that right together with payment,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
award concession contract,involve,the transfer to the concessionaire of an operating risk in exploiting those works or services encompassing demand risk or supply risk or,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
concessionaire,deem,to assume an operating risk where under normal operating conditions there is no guarantee of recouping the investments made or the costs incurred in operating the works or the services concerned,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
contingent liability,mean,a potential financial obligation that could be incurred depending on the outcome of a future event,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
contract,mean,a public contract or a concession contract,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
contractor,mean,an economic operator with whom a public contract has been signed,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
public contract,sign,with whom,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
contribution agreement,mean,an agreement concluded with persons or entities implementing union funds pursuant to points(ii) to (viii) of the first subparagraph of article 62(1,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
agreement,conclude,with persons or entities implementing union funds pursuant to points(ii) to (viii) of the first subparagraph of article 62(1,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
control,mean,any measure taken to provide reasonable assurance regarding the effectiveness efficiency and economy of operations the reliability of reporting the safeguarding of assets and information the prevention and detection and correction of fraud and irregularities and fraud and irregularities followup and the adequate management of the risks relating to the legality and regularity of the underlying transactions taking into account the multiannual character of programmes as well as the nature of the payments concerned,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
control,involve,various checks as well as the implementation of any policies and procedures to achieve the objectives referred to in the first sentence,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
counterpart,mean,the party that is granted a budgetary guarantee,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
crisis,mean,a situation of immediate or imminent danger threatening to escalate into an armed conflict or to destabilise a country or an armed conflict neighbourhood a situation caused by natural disasters manmade crisis such as wars and other conflicts or extraordinary circumstances having comparable effects related inter alia to climate change environmental degradation privation of access to energy and natural resources or extreme poverty,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
decommitment,mean,an operation whereby the authorising officer responsible cancels wholly or partly the reservation of appropriations previously made by means of a budgetary commitment,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
dynamic purchasing system,mean,a completely electronic process for making commonly used purchases of items generally available on the market,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
economic operator,mean,any natural or legal person including a public entity or a group of such persons who offers to supply products execute works or provide services or supply immovable property,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
natural legal person include public entity group person offer supply product,execute,works,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
natural legal person include public entity group person offer supply product,provide,services,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
natural legal person include public entity group person offer supply product,supply,immovable property,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
equity investment,mean,the provision of capital to a company invested directly or indirectly in return for total or partial ownership of a company and where the equity investor may assume some management control of a company and may share a company profits,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
equity investor,assume,some management control of a company where,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
equity investor,share,a company profits,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
european office,mean,an administrative structure set up by the commission or by the commission with one or more other union institutions to perform specific crosscutting tasks,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
final administrative decision,mean,a decision of an administrative authority having final and binding effect in accordance with the applicable law,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
financial asset,mean,any asset in the form of cash an equity instrument of a publicly or privately held entity or a contractual right to receive cash or another financial asset from such entity,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
financial instrument,mean,a union measure of financial support provided from the budget to address one or more specific policy objectives of the union which may take the form of equity or quasiequity investments loans or guarantees or other risksharing instruments and which may where appropriate be combined with other forms of financial support or with funds under shared management or funds of the european development fund (edf,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
financial liability,mean,a contractual obligation to deliver cash or another financial asset to another entity,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
framework contract,mean,a public contract concluded between one or more economic operators and one or more contracting authorities the purpose of which is to establish the terms governing specific contracts under the purpose of which to be awarded during a given period in particular with regard to price and where appropriate the quantity envisaged,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
public contract,conclude,the purpose of which is to establish the terms governing specific contracts under the purpose of which to be awarded during a given period in particular with regard to price and where appropriate the quantity envisaged between one or more economic operators and one or more contracting authorities,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
purpose,be,to establish the terms governing specific contracts under the purpose of which to be awarded during a given period in particular with regard to price and,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
global provisioning,mean,the total amount of resources deemed necessary over the entire lifetime of a budgetary guarantee as a result of applying the provisioning rate referred to in article 211(1) to the amount of the budgetary guarantee authorised by the basic act referred to in point of article 210(1,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
total resource,deem,over the entire lifetime of a budgetary guarantee as a result of applying the provisioning rate referred to in article 211(1) to the amount of the budgetary guarantee authorised by the basic act,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
total resource,refer,to in point of article 210(1,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
grant,mean,a financial contribution by way of donation,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
contribution,provide,where under direct management,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
contribution,govern,by title viii,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
guarantee demand,mean,a guarantee that must be honoured by the guarantor upon the counterparts demand notwithstanding any deficiencies in the enforceability of the underlying obligation,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
inkind contribution,mean,nonfinancial resources made available free of charge by third parties to a beneficiary,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
nonfinancial resource,make,available free of charge by third parties to a beneficiary,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
legal commitment,mean,an act,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
authorise officer,establishe,an obligation which results in subsequent payment or payments and the recognition of expenditure charged to the budget and which includes specific agreements and contracts concluded under financial framework partnership agreements and framework contracts,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
leverage effect,mean,the amount of reimbursable financing provided to eligible final recipients divided by the amount of the union contribution,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
liquidity risk,mean,the risk that a financial asset held in the common provisioning fund might not be sold during a certain period of time without incurring a significant loss,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
financial asset hold common provisioning fund,sell,during a certain period of time without incurring a significant loss,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
loan,mean,an agreement which obliges the lender to make available to the borrower an agreed amount of money for an agreed period and under which the borrower is obliged to repay that amount within the agreed period,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
borrower,oblige,to repay that amount within the agreed period under which,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
low value grant,mean,a grant lower than or equal to eur 60 000,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
member state organisation,mean,an entity established in a member state as a public law body or as a body governed by private law entrusted with a public service mission and provided with adequate financial guarantees from the member state,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
method implementation,mean,any of the methods of budget implementation referred to in article 62,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
method budget implementation,refer,to in article 62,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
multidonor action,mean,any action where union funds are pooled with at least one other donor,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
union fund,pool,where with at least one other donor,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
multipli effect,mean,the investment by eligible final recipients divided by the amount of the union contribution,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
output,mean,the deliverables generated by the action determined in accordance with sectorspecific rules,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
participant,mean,a candidate or tenderer in a procurement procedure an applicant in a grant award procedure an expert in a procedure for selection of experts an applicant in a contest for prizes or a person or entity participating in a procedure for implementing union funds pursuant to point of the first subparagraph of article 62(1,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
prize,mean,a financial contribution given as a reward following a contest,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
contribution,provide,where under direct management,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
contribution,govern,by title ix,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
procurement,mean,the acquisition by means of a contract of works supplies or services and the acquisition or rental of land buildings or other immovable property by one or more contracting authorities from economic operators chosen by those contracting authorities,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
procurement document,mean,any document produced or referred to by the contracting authority to describe or determine elements of the procurement procedure including: the publicity measures set out in article 163 the invitation to tender the tender specifications including the technical specifications and the relevant criteria or the descriptive documents in the case of a competitive dialogue,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
public contract,mean,a contract for pecuniary interest concluded in writing between one or more economic operators and one or more contracting authorities within the meaning of articles 174 and 178 in order to obtain against payment of a price paid in whole or in part from the budget the supply of movable or immovable assets the execution of works or the provision of services comprising: building contracts supply contracts works contracts service contracts,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
contract pecuniary interest,conclude,in writing between one or more economic operators and one or more contracting authorities within the meaning of articles 174 and 178 in order to obtain against payment of a price paid in whole or in part from the budget the supply of movable or immovable assets the execution of works or the provision of services comprising,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
quasiequity investment,mean,a type of financing that ranks between equity and debt having a higher risk than senior debt and a lower risk than common equity,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
recipient,mean,a beneficiary,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
repurchase agreement,mean,the sale of securities for cash with an agreement to repurchase cash on a specified future date or on demand,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
research technological development appropriation,mean,an appropriation entered either in one of the titles of the budget relating to the policy areas linked to indirect research or direct research or in a chapter relating to research activities in another title,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
appropriation,enter,either in one of the titles of the budget relating to the policy areas linked to indirect research or direct research or in a chapter relating to research activities in another title,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
instrument,mean,a financial instrument which allows for the sharing of a defined risk between two or more entities where appropriate in exchange for an agreed remuneration,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
service contract,mean,a contract covering all intellectual and nonintellectual services other than those covered by supply contracts works contracts and building contracts,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
contract cover intellectual nonintellectual service cover supply contract,work,contracts and building contracts,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
sound financial management,mean,implementation of the budget in accordance with the principles of economy efficiency and effectiveness,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
staff regulation,mean,the staff regulations of officials of the european union and the conditions of employment of other servants of the european union laid down in regulation (eec euratom ecsc),"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
staff regulation official european union,lay,in regulation (eec euratom ecsc,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
subcontractor,mean,an economic operator that is proposed by a candidate or tenderer or contractor to perform part of a contract or by a beneficiary to perform part of the tasks cofinanced by a grant,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
subscription,mean,sums paid to bodies of which the european union is member in accordance with the budgetary decisions and the conditions of payment established by the body concerned,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
supply contract,mean,a contract covering the purchase leasing rental or hire purchase with or without option to buy of products,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
technical assistance,mean,without prejudice to sectorspecific rules support,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
technical assistance,capacitybuilde,activities necessary for the implementation of a programme or an action in particular preparatory management monitoring evaluation audit and control activities,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
union,mean,the european union the european atomic energy community or both as the context may require,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
union institution,mean,the european parliament the european council the council the commission the court of justice of the european union the court of auditors the european economic and social committee the committee of the regions the european ombudsman the european data protection supervisor or the european external action service (the eeas ) the european central bank shall not be considered to be a union institution,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
european central bank,consider,to be a union institution,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
vendor,mean,an economic operator registered in a list of vendors to be invited to submit requests to participate in or submit tenders,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
volunteer,mean,a person working on a noncompulsory basis for an organisation without being paid,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
outcome build civil engineering work,take,as a whole that is sufficient in building or civil engineering,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
outcome build civil engineering work,work,to fulfil an economic or technical function,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
work contract,mean,a contract covering either: the execution or both the execution and design of a work the execution or both the execution and design of a work related to one of the activities referred to in annex ii to directive 201424eu or the realisation by whatever means of a work corresponding to the requirements specified by the contracting authority exercising a decisive influence on the type or design of the work,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
execution execution design work execution execution design work relate activity,refer,to in annex ii,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
execution execution design work execution execution design work relate activity,directive,201424eu or the realisation by whatever means of a work corresponding to the requirements specified by the contracting authority exercising a decisive influence on the type or design of the work,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 2  Definitions 
provision concern implementation revenue expenditure budget contain basic act,comply,with the budgetary principles set out in title ii,"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 3  Compliance of secondary legislation with this Regulation 
regulation,be,without prejudice to regulations (ec) no 452001 and (eu),"TITLE I SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES",Article 5  Protection of personal data 
budget,implement,sound financial management and transparency in accordance with the principles of unity budgetary accuracy annuality equilibrium unit of account universality specification,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 6  Respect for budgetary principles 
budget,set,in this regulation,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 6  Respect for budgetary principles 
budget,authorise,all revenue and expenditure considered necessary for the union,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget 
common foreign security policy cfsp,charge,the revenue and expenditure of the european atomic energy community where to the budget,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget 
budget,contain,differentiated appropriations which consist of commitment appropriations and payment appropriations and,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget 
appropriation authorise financial year,consist,of: appropriations provided in the budget including by amending budgets appropriations carried over from preceding financial years appropriations made available again in accordance with article 15 appropriations arising from prefinancing payments which have been repaid in accordance with point of article 12(4) appropriations provided following the receipt of revenue assigned during the financial year or carried over from preceding financial years,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget 
commitment appropriation,cover,the total cost of the legal commitments entered into during the financial year subject to article 114(2,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget 
payment appropriation,cover,payments made to honour the legal commitments entered into in the financial year or,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget 
paragraph 2 3 article,prevent,appropriations being committed globally or budgetary commitments being made in annual instalments as respectively provided for in point of the first subparagraph of article 112(1,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget 
appropriation,commit,globally,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget 
budgetary commitment,make,in annual instalments,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget 
budgetary commitment,provide,respectively for in point of the first subparagraph of article 112(1,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 7  Scope of the budget 
revenue expenditure,book,to a budget line,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 8  Specific rules on the principles of unity and budgetary accuracy 
expenditure,commit,without prejudice to authorised expenditure arising from contingent liabilities as provided for in article 210(2,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 8  Specific rules on the principles of unity and budgetary accuracy 
expenditure,authorise,in excess of the authorised appropriations,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 8  Specific rules on the principles of unity and budgetary accuracy 
appropriation,enter,in the budget,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 8  Specific rules on the principles of unity and budgetary accuracy 
appropriation,be,only for an item of expenditure considered necessary,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 8  Specific rules on the principles of unity and budgetary accuracy 
interest generate prefinance payment budget,be,due to the union except as otherwise provided in the contribution agreements or the financing agreements concerned,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 8  Specific rules on the principles of unity and budgetary accuracy 
appropriation enter budget,authorise,for a financial year which shall run from 1 january to 31 december,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 9  Definition 
revenue financial year,enter,in the accounts for that year on the basis of the amounts collected during that year,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 10  Budgetary accounting for revenue and appropriations 
resource month january follow financial year available advance pursuant regulation eu euratom 6092014,make,however in advance,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 10  Budgetary accounting for revenue and appropriations 
entry respect value add tax vat,adjust,in accordance with regulation (eu euratom,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 10  Budgetary accounting for revenue and appropriations 
commitment,enter,in the accounts for a financial year on the basis of the legal commitments entered into up to 31 december of that year,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 10  Budgetary accounting for revenue and appropriations 
global budgetary commitment,refer,however to in article 112(4,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 10  Budgetary accounting for revenue and appropriations 
payment,enter,in the accounts for a financial year on the basis of the payments made by the accounting officer by 31 december of that year,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 10  Budgetary accounting for revenue and appropriations 
expenditure european agricultural guarantee fund eagf,enter,by way of derogation from paragraphs 3 and 4: in the accounts for a financial year on the basis of the repayments made by the commission to member states by 31 december of that year provided that the payment order has reached the accounting officer by 31 january of the following financial year expenditure implemented under shared management with the exception of the eagf,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 10  Budgetary accounting for revenue and appropriations 
payment order,reach,the accounting officer by 31 january of the following financial year expenditure implemented under shared management with the exception of the eagf,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 10  Budgetary accounting for revenue and appropriations 
expenditure european agricultural guarantee fund eagf,enter,in the accounts for a financial year on the basis of the reimbursements made by the commission to member states by 31 december of that year including the expenditure charged by 31 january of the following financial year as laid down in articles 30 and 31,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 10  Budgetary accounting for revenue and appropriations 
appropriation enter budget,commit,with effect from 1 january,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 11  Commitment of appropriations 
budget,adopt,definitively,TITLE II BUDGET AND BUDGETARY PRINCIPLES,Article 11  Commitment of appropriations 
