Title,Articles,coreference_list_ready,coreference_paragraph_clean,triplets_clean_parag
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘building contract’ means a contract covering the purchase, exchange, long lease, usufruct, leasing, rental or hire purchase, with or without option to buy, of land, buildings or other immovable property. land, buildings or other immovable property covers both existing buildings and buildings before completion provided that the candidate has obtained a valid building permit for land, buildings or other immovable property. land, buildings or other immovable property does not cover buildings designed in accordance with the specifications of the contracting authority that are covered by works contracts;",building contract means a contract covering the purchase exchange long lease usufruct leasing rental or hire purchase with or without option to buy of land buildings or other immovable property. land buildings or other immovable property covers both existing buildings and buildings before completion provided that the candidate has obtained a valid building permit for land buildings or other immovable property. land buildings or other immovable property does not cover buildings designed in accordance with the specifications of the contracting authority that are covered by works contracts,"[[{'head': 'building permit', 'type': 'facet of', 'tail': 'building'}], [{'head': 'lease', 'type': 'subclass of', 'tail': 'rental'}], [{'head': 'lease', 'type': 'subclass of', 'tail': 'lease'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘candidate’ means an economic operator that has sought an invitation or has been invited to take part in a restricted procedure, a competitive procedure with negotiation, a competitive dialogue, an innovation partnership, a design contest or a negotiated procedure;",candidate means an economic operator that has sought an invitation or has been invited to take part in a restricted procedure a competitive procedure with negotiation a competitive dialogue an innovation partnership a design contest or a negotiated procedure,"[[{'head': 'design contest', 'type': 'subclass of', 'tail': 'competitive dialogue'}], [{'head': 'competitive dialogue', 'type': 'subclass of', 'tail': 'negotiation'}], [{'head': 'negotiation', 'type': 'subclass of', 'tail': 'competitive procedure'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘central purchasing body’ means a contracting authority providing centralised purchasing activities and, where applicable, ancillary purchasing activities;",central purchasing body means a contracting authority providing centralised purchasing activities and where applicable ancillary purchasing activities,"[[{'head': 'central purchasing body', 'type': 'subclass of', 'tail': 'contracting authority'}], [{'head': 'central purchasing body', 'type': 'facet of', 'tail': 'centralised purchasing'}], [{'head': 'centralised purchasing', 'type': 'subclass of', 'tail': 'contracting authority'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘check’ means the verification of a specific aspect of a revenue or expenditure operation;,check means the verification of a specific aspect of a revenue or expenditure operation,"[[{'head': 'revenue', 'type': 'has part', 'tail': 'expenditure'}], [{'head': 'revenue', 'type': 'has part', 'tail': 'expenditure'}, {'head': 'expenditure', 'type': 'part of', 'tail': 'revenue'}], [{'head': 'expenditure', 'type': 'opposite of', 'tail': 'revenue'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘concession contract’ means a contract for pecuniary interest concluded in writing between one or more economic operators and one or more contracting authorities within the meaning of articles 174 and 178, in order to entrust the execution of works or the provision and management of services to an economic operator (the ‘concession’), and where: (a) the remuneration consists either solely in the right to exploit the works or services or in that right together with payment; (b) the award of the concession contract involves the transfer to the concessionaire of an operating risk in exploiting those works or services encompassing demand risk or supply risk, or both. the concessionaire shall be deemed to assume an operating risk where, under normal operating conditions, there is no guarantee of recouping the investments made or the costs incurred in operating the works or the services concerned;",concession contract means a contract for pecuniary interest concluded in writing between one or more economic operators and one or more contracting authorities within the meaning of articles 174 and 178 in order to entrust the execution of works or the provision and management of services to an economic operator (the concession) and where: the remuneration consists either solely in the right to exploit the works or services or in that right together with payment the award of the concession contract involves the transfer to the concessionaire of an operating risk in exploiting those works or services encompassing demand risk or supply risk or both. the concessionaire shall be deemed to assume an operating risk where under normal operating conditions there is no guarantee of recouping the investments made or the costs incurred in operating the works or the services concerned,"[[{'head': 'concession', 'type': 'subclass of', 'tail': 'contract'}], [{'head': 'demand risk', 'type': 'subclass of', 'tail': 'contract'}, {'head': 'supply risk', 'type': 'subclass of', 'tail': 'contract'}], [{'head': 'demand risk', 'type': 'subclass of', 'tail': 'contract'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘contingent liability’ means a potential financial obligation that could be incurred depending on the outcome of a future event;,contingent liability means a potential financial obligation that could be incurred depending on the outcome of a future event,"[[{'head': 'contingent liability', 'type': 'subclass of', 'tail': 'financial obligation'}], [{'head': 'financial obligation', 'type': 'subclass of', 'tail': 'contingent liability'}], [{'head': 'contingent liability', 'type': 'subclass of', 'tail': 'financial obligation'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘contract’ means a public contract or a concession contract;,contract means a public contract or a concession contract,"[[{'head': 'concession contract', 'type': 'subclass of', 'tail': 'public contract'}], [{'head': 'concession contract', 'type': 'subclass of', 'tail': 'contract'}], [{'head': 'concession', 'type': 'subclass of', 'tail': 'public contract'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘contractor’ means an economic operator with whom a public contract has been signed;,contractor means an economic operator with whom a public contract has been signed,"[[{'head': 'contract', 'type': 'participant', 'tail': 'economic operator'}], [{'head': 'public contract', 'type': 'subclass of', 'tail': 'contract'}], [{'head': 'public contract', 'type': 'participant', 'tail': 'contractor'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘contribution agreement’ means an agreement concluded with persons or entities implementing union funds pursuant to points (c)(ii) to (viii) of the first subparagraph of article 62(1);,contribution agreement means an agreement concluded with persons or entities implementing union funds pursuant to points(ii) to (viii) of the first subparagraph of article 62(1),"[[{'head': 'article 62(1)', 'type': 'main subject', 'tail': 'union funds'}], [{'head': 'article 62(1)', 'type': 'main subject', 'tail': 'union fund'}], [{'head': 'contribution agreement', 'type': 'subclass of', 'tail': 'agreement'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘control’ means any measure taken to provide reasonable assurance regarding the effectiveness, efficiency and economy of operations, the reliability of reporting, the safeguarding of assets and information, the prevention and detection and correction of fraud and irregularities and fraud and irregularities follow-up, and the adequate management of the risks relating to the legality and regularity of the underlying transactions, taking into account the multiannual character of programmes as well as the nature of the payments concerned. controls may involve various checks, as well as the implementation of any policies and procedures to achieve the objectives referred to in the first sentence;",control means any measure taken to provide reasonable assurance regarding the effectiveness efficiency and economy of operations the reliability of reporting the safeguarding of assets and information the prevention and detection and correction of fraud and irregularities and fraud and irregularities followup and the adequate management of the risks relating to the legality and regularity of the underlying transactions taking into account the multiannual character of programmes as well as the nature of the payments concerned. controls may involve various checks as well as the implementation of any policies and procedures to achieve the objectives referred to in the first sentence,"[[{'head': 'checks', 'type': 'subclass of', 'tail': 'controls'}], [{'head': 'checks', 'type': 'subclass of', 'tail': 'control'}], [{'head': 'controls', 'type': 'subclass of', 'tail': 'control'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘counterpart’ means the party that is granted a budgetary guarantee;,counterpart means the party that is granted a budgetary guarantee,"[[{'head': 'counterpart', 'type': 'subclass of', 'tail': 'party'}], [{'head': 'counterpart', 'type': 'part of', 'tail': 'party'}], [{'head': 'counterpart', 'type': 'opposite of', 'tail': 'party'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘crisis’ means: (a) a situation of immediate or imminent danger threatening to escalate into an armed conflict or to destabilise a country or an armed conflict neighbourhood; (b) a situation caused by natural disasters, man-made crisis such as wars and other conflicts or extraordinary circumstances having comparable effects related, inter alia, to climate change, environmental degradation, privation of access to energy and natural resources or extreme poverty;",crisis means: a situation of immediate or imminent danger threatening to escalate into an armed conflict or to destabilise a country or an armed conflict neighbourhood a situation caused by natural disasters manmade crisis such as wars and other conflicts or extraordinary circumstances having comparable effects related inter alia to climate change environmental degradation privation of access to energy and natural resources or extreme poverty,"[[{'head': 'armed conflict', 'type': 'subclass of', 'tail': 'conflict'}], [{'head': 'climate change', 'type': 'instance of', 'tail': 'manmade crisis'}], [{'head': 'extreme poverty', 'type': 'subclass of', 'tail': 'manmade crisis'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘decommitment’ means an operation whereby the authorising officer responsible cancels wholly or partly the reservation of appropriations previously made by means of a budgetary commitment;,decommitment means an operation whereby the authorising officer responsible cancels wholly or partly the reservation of appropriations previously made by means of a budgetary commitment,"[[{'head': 'budgetary commitment', 'type': 'subclass of', 'tail': 'appropriations'}], [{'head': 'appropriations', 'type': 'subclass of', 'tail': 'budgetary commitment'}], [{'head': 'appropriations', 'type': 'has part', 'tail': 'budgetary commitment'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘dynamic purchasing system’ means a completely electronic process for making commonly used purchases of items generally available on the market;,dynamic purchasing system means a completely electronic process for making commonly used purchases of items generally available on the market,"[[{'head': 'electronic process', 'type': 'subclass of', 'tail': 'purchase'}], [{'head': 'electronic', 'type': 'subclass of', 'tail': 'purchase'}], [{'head': 'dynamic purchasing system', 'type': 'subclass of', 'tail': 'purchase'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘economic operator’ means any natural or legal person, including a public entity, or a group of such persons, who offers to supply products, execute works or provide services or supply immovable property;",economic operator means any natural or legal person including a public entity or a group of such persons who offers to supply products execute works or provide services or supply immovable property,"[[{'head': 'public entity', 'type': 'subclass of', 'tail': 'legal person'}], [{'head': 'public entity', 'type': 'subclass of', 'tail': 'natural'}], [{'head': 'public entity', 'type': 'subclass of', 'tail': 'natural or legal person'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘equity investment’ means the provision of capital to a company, invested directly or indirectly in return for total or partial ownership of a company and where the equity investor may assume some management control of a company and may share a company profits;",equity investment means the provision of capital to a company invested directly or indirectly in return for total or partial ownership of a company and where the equity investor may assume some management control of a company and may share a company profits,"[[{'head': 'equity investment', 'type': 'subclass of', 'tail': 'capital'}], [{'head': 'equity', 'type': 'subclass of', 'tail': 'capital'}], [{'head': 'equity investment', 'type': 'has part', 'tail': 'capital'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘european office’ means an administrative structure set up by the commission, or by the commission with one or more other union institutions, to perform specific cross-cutting tasks;",european office means an administrative structure set up by the commission or by the commission with one or more other union institutions to perform specific crosscutting tasks,"[[{'head': 'commission', 'type': 'instance of', 'tail': 'union institutions'}], [{'head': 'commission', 'type': 'part of', 'tail': 'union'}], [{'head': 'european office', 'type': 'subclass of', 'tail': 'administrative structure'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘final administrative decision’ means a decision of an administrative authority having final and binding effect in accordance with the applicable law;,final administrative decision means a decision of an administrative authority having final and binding effect in accordance with the applicable law,"[[{'head': 'final and binding effect', 'type': 'part of', 'tail': 'law'}], [{'head': 'binding effect', 'type': 'part of', 'tail': 'law'}], [{'head': 'final and binding effect', 'type': 'facet of', 'tail': 'law'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘financial asset’ means any asset in the form of cash, an equity instrument of a publicly or privately held entity or a contractual right to receive cash or another financial asset from such entity;",financial asset means any asset in the form of cash an equity instrument of a publicly or privately held entity or a contractual right to receive cash or another financial asset from such entity,"[[{'head': 'equity', 'type': 'subclass of', 'tail': 'asset'}], [{'head': 'equity', 'type': 'part of', 'tail': 'publicly'}], [{'head': 'equity instrument', 'type': 'subclass of', 'tail': 'asset'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘financial instrument’ means a union measure of financial support provided from the budget to address one or more specific policy objectives of the union which may take the form of equity or quasi-equity investments, loans or guarantees, or other risk-sharing instruments, and which may, where appropriate, be combined with other forms of financial support or with funds under shared management or funds of the european development fund (edf);",financial instrument means a union measure of financial support provided from the budget to address one or more specific policy objectives of the union which may take the form of equity or quasiequity investments loans or guarantees or other risksharing instruments and which may where appropriate be combined with other forms of financial support or with funds under shared management or funds of the european development fund (edf),"[[{'head': 'european development fund', 'type': 'parent organization', 'tail': 'union'}], [{'head': 'quasiequity', 'type': 'subclass of', 'tail': 'equity'}], [{'head': 'equity', 'type': 'subclass of', 'tail': 'investments'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘financial liability’ means a contractual obligation to deliver cash or another financial asset to another entity;,financial liability means a contractual obligation to deliver cash or another financial asset to another entity,"[[{'head': 'cash', 'type': 'subclass of', 'tail': 'financial asset'}], [{'head': 'financial liability', 'type': 'subclass of', 'tail': 'contractual obligation'}], [{'head': 'financial asset', 'type': 'has part', 'tail': 'cash'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘framework contract’ means a public contract concluded between one or more economic operators and one or more contracting authorities, the purpose of which is to establish the terms governing specific contracts under the purpose of which to be awarded during a given period, in particular with regard to price and, where appropriate, the quantity envisaged;",framework contract means a public contract concluded between one or more economic operators and one or more contracting authorities the purpose of which is to establish the terms governing specific contracts under the purpose of which to be awarded during a given period in particular with regard to price and where appropriate the quantity envisaged,"[[{'head': 'public contract', 'type': 'subclass of', 'tail': 'contract'}], [{'head': 'framework contract', 'type': 'subclass of', 'tail': 'public contract'}], [{'head': 'framework contract', 'type': 'subclass of', 'tail': 'contract'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘global provisioning’ means the total amount of resources deemed necessary over the entire lifetime of a budgetary guarantee as a result of applying the provisioning rate referred to in article 211(1) to the amount of the budgetary guarantee authorised by the basic act referred to in point (b) of article 210(1);,global provisioning means the total amount of resources deemed necessary over the entire lifetime of a budgetary guarantee as a result of applying the provisioning rate referred to in article 211(1) to the amount of the budgetary guarantee authorised by the basic act referred to in point of article 210(1),"[[{'head': 'basic act', 'type': 'main subject', 'tail': 'basic guarantee'}], [{'head': 'basic act', 'type': 'has effect', 'tail': 'basic guarantee'}], [{'head': 'basic act', 'type': 'has part', 'tail': 'basic guarantee'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘grant’ means a financial contribution by way of donation. where such a contribution is provided under direct management, such a contribution shall be governed by title viii;",grant means a financial contribution by way of donation. where such a contribution is provided under direct management such a contribution shall be governed by title viii,"[[{'head': 'donation', 'type': 'subclass of', 'tail': 'financial contribution'}], [{'head': 'donation', 'type': 'subclass of', 'tail': 'contribution'}], [{'head': 'grant', 'type': 'subclass of', 'tail': 'donation'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘guarantee’ means a written commitment to assume responsibility for all or part of a third party’s debt or obligation or for the successful performance by that third party of all or part of a third party’s debt or obligation obligations if an event occurs which triggers such guarantee, such as a loan default;",guarantee means a written commitment to assume responsibility for all or part of a third partys debt or obligation or for the successful performance by that third party of all or part of a third partys debt or obligation obligations if an event occurs which triggers such guarantee such as a loan default,"[[{'head': 'loan default', 'type': 'has effect', 'tail': 'guarantee'}], [{'head': 'loan default', 'type': 'subclass of', 'tail': 'loan'}], [{'head': 'debt', 'type': 'different from', 'tail': 'obligation'}, {'head': 'obligation', 'type': 'different from', 'tail': 'debt'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘guarantee on demand’ means a guarantee that must be honoured by the guarantor upon the counterpart’s demand, notwithstanding any deficiencies in the enforceability of the underlying obligation;",guarantee on demand means a guarantee that must be honoured by the guarantor upon the counterparts demand notwithstanding any deficiencies in the enforceability of the underlying obligation,"[[{'head': 'enforceability', 'type': 'subclass of', 'tail': 'guarantee'}], [{'head': 'guarantee on demand', 'type': 'subclass of', 'tail': 'guarantee'}], [{'head': 'guarantee', 'type': 'used by', 'tail': 'guaranteeor'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘in-kind contribution’ means non-financial resources made available free of charge by third parties to a beneficiary;,inkind contribution means nonfinancial resources made available free of charge by third parties to a beneficiary,"[[{'head': 'free of charge', 'type': 'subclass of', 'tail': 'nonfinancial resources'}], [{'head': 'free of charge', 'type': 'subclass of', 'tail': 'nonfinancial'}], [{'head': 'nonfinancial', 'type': 'subclass of', 'tail': 'resources'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘legal commitment’ means an act whereby the authorising officer responsible enters into or establishes an obligation which results in subsequent payment or payments and the recognition of expenditure charged to the budget, and which includes specific agreements and contracts concluded under financial framework partnership agreements and framework contracts;",legal commitment means an act whereby the authorising officer responsible enters into or establishes an obligation which results in subsequent payment or payments and the recognition of expenditure charged to the budget and which includes specific agreements and contracts concluded under financial framework partnership agreements and framework contracts,"[[{'head': 'financial framework partnership agreement', 'type': 'subclass of', 'tail': 'framework contract'}], [{'head': 'framework contract', 'type': 'subclass of', 'tail': 'contract'}], [{'head': 'financial framework partnership agreements', 'type': 'subclass of', 'tail': 'framework contract'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘leverage effect’ means the amount of reimbursable financing provided to eligible final recipients divided by the amount of the union contribution;,leverage effect means the amount of reimbursable financing provided to eligible final recipients divided by the amount of the union contribution,"[[{'head': 'reimbursable', 'type': 'subclass of', 'tail': 'financing'}], [{'head': 'reimbursable financing', 'type': 'subclass of', 'tail': 'leverage effect'}], [{'head': 'reimbursable financing', 'type': 'subclass of', 'tail': 'leverage effect'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘liquidity risk’ means the risk that a financial asset held in the common provisioning fund might not be sold during a certain period of time without incurring a significant loss;,liquidity risk means the risk that a financial asset held in the common provisioning fund might not be sold during a certain period of time without incurring a significant loss,"[[{'head': 'liquidity risk', 'type': 'subclass of', 'tail': 'risk'}], [{'head': 'provisioning fund', 'type': 'subclass of', 'tail': 'financial asset'}], [{'head': 'financial asset', 'type': 'subclass of', 'tail': 'risk'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘loan’ means an agreement which obliges the lender to make available to the borrower an agreed amount of money for an agreed period and under which the borrower is obliged to repay that amount within the agreed period;,loan means an agreement which obliges the lender to make available to the borrower an agreed amount of money for an agreed period and under which the borrower is obliged to repay that amount within the agreed period,"[[{'head': 'loan', 'type': 'used by', 'tail': 'lender'}], [{'head': 'loan', 'type': 'subclass of', 'tail': 'agreement'}], [{'head': 'loan', 'type': 'participant', 'tail': 'lender'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,‘low value grant’ means a grant lower than or equal to eur 60 000;,low value grant means a grant lower than or equal to eur 60 000,"[[{'head': 'low value grant', 'type': 'subclass of', 'tail': 'grant'}], [], [{'head': 'eur', 'type': 'subclass of', 'tail': 'grant'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘member state organisation’ means an entity established in a member state as a public law body, or as a body governed by private law entrusted with a public service mission and provided with adequate financial guarantees from the member state;",member state organisation means an entity established in a member state as a public law body or as a body governed by private law entrusted with a public service mission and provided with adequate financial guarantees from the member state,"[[{'head': 'member state organisation', 'type': 'subclass of', 'tail': 'entity'}], [{'head': 'private law', 'type': 'opposite of', 'tail': 'public law'}], [{'head': 'member state organisation', 'type': 'country', 'tail': 'member state'}]]"
"TITLE I 
SUBJECT MATTER, DEFINITIONS AND GENERAL PRINCIPLES ",Article 2  Definitions ,"‘method of implementation’ means any of the methods of budget implementation referred to in article 62, that is direct management, indirect management and shared management; l 193/28",method of implementation means any of the methods of budget implementation referred to in article 62 that is direct management indirect management and shared management l 19328,"[[{'head': 'indirect management', 'type': 'subclass of', 'tail': 'direct management'}], [{'head': 'indirect management', 'type': 'part of', 'tail': 'direct management'}], [{'head': 'indirect management', 'type': 'opposite of', 'tail': 'direct management'}]]"
